machine_id,RUL,usine,ligne_production,machine_uid
1,112,1,1,1_1_1
2,98,1,1,2_1_1
3,69,1,1,3_1_1
4,82,1,1,4_1_1
5,91,1,1,5_1_1
6,93,1,1,6_1_1
7,91,1,1,7_1_1
8,95,1,1,8_1_1
9,111,1,1,9_1_1
10,96,1,1,10_1_1
11,97,1,1,11_1_1
12,124,1,1,12_1_1
13,95,1,1,13_1_1
14,107,1,1,14_1_1
15,83,1,1,15_1_1
16,84,1,1,16_1_1
17,50,1,1,17_1_1
18,28,1,1,18_1_1
19,87,1,1,19_1_1
20,16,1,1,20_1_1
21,57,1,1,21_1_1
22,111,1,1,22_1_1
23,113,1,1,23_1_1
24,20,1,1,24_1_1
25,145,1,1,25_1_1
26,119,1,1,26_1_1
27,66,1,1,27_1_1
28,97,1,1,28_1_1
29,90,1,1,29_1_1
30,115,1,1,30_1_1
31,8,1,1,31_1_1
32,48,1,1,32_1_1
33,106,1,1,33_1_1
34,7,1,1,34_1_1
35,11,1,1,35_1_1
36,19,1,1,36_1_1
37,21,1,1,37_1_1
38,50,1,1,38_1_1
39,142,1,1,39_1_1
40,28,1,1,40_1_1
41,18,1,1,41_1_1
42,10,1,1,42_1_1
43,59,1,1,43_1_1
44,109,1,1,44_1_1
45,114,1,1,45_1_1
46,47,1,1,46_1_1
47,135,1,1,47_1_1
48,92,1,1,48_1_1
49,21,1,1,49_1_1
50,79,1,1,50_1_1
51,114,1,1,51_1_1
52,29,1,1,52_1_1
53,26,1,1,53_1_1
54,97,1,1,54_1_1
55,137,1,1,55_1_1
56,15,1,1,56_1_1
57,103,1,1,57_1_1
58,37,1,1,58_1_1
59,114,1,1,59_1_1
60,100,1,1,60_1_1
61,21,1,1,61_1_1
62,54,1,1,62_1_1
63,72,1,1,63_1_1
64,28,1,1,64_1_1
65,128,1,1,65_1_1
66,14,1,1,66_1_1
67,77,1,1,67_1_1
68,8,1,1,68_1_1
69,121,1,1,69_1_1
70,94,1,1,70_1_1
71,118,1,1,71_1_1
72,50,1,1,72_1_1
73,131,1,1,73_1_1
74,126,1,1,74_1_1
75,113,1,1,75_1_1
76,10,1,1,76_1_1
77,34,1,1,77_1_1
78,107,1,1,78_1_1
79,63,1,1,79_1_1
80,90,1,1,80_1_1
81,8,1,1,81_1_1
82,9,1,1,82_1_1
83,137,1,1,83_1_1
84,58,1,1,84_1_1
85,118,1,1,85_1_1
86,89,1,1,86_1_1
87,116,1,1,87_1_1
88,115,1,1,88_1_1
89,136,1,1,89_1_1
90,28,1,1,90_1_1
91,38,1,1,91_1_1
92,20,1,1,92_1_1
93,85,1,1,93_1_1
94,55,1,1,94_1_1
95,128,1,1,95_1_1
96,137,1,1,96_1_1
97,82,1,1,97_1_1
98,59,1,1,98_1_1
99,117,1,1,99_1_1
100,20,1,1,100_1_1
1,44,1,2,1_1_2
2,51,1,2,2_1_2
3,27,1,2,3_1_2
4,120,1,2,4_1_2
5,101,1,2,5_1_2
6,99,1,2,6_1_2
7,71,1,2,7_1_2
8,55,1,2,8_1_2
9,55,1,2,9_1_2
10,66,1,2,10_1_2
11,77,1,2,11_1_2
12,115,1,2,12_1_2
13,115,1,2,13_1_2
14,31,1,2,14_1_2
15,108,1,2,15_1_2
16,56,1,2,16_1_2
17,136,1,2,17_1_2
18,132,1,2,18_1_2
19,85,1,2,19_1_2
20,56,1,2,20_1_2
21,18,1,2,21_1_2
22,119,1,2,22_1_2
23,78,1,2,23_1_2
24,9,1,2,24_1_2
25,58,1,2,25_1_2
26,11,1,2,26_1_2
27,88,1,2,27_1_2
28,144,1,2,28_1_2
29,124,1,2,29_1_2
30,89,1,2,30_1_2
31,79,1,2,31_1_2
32,55,1,2,32_1_2
33,71,1,2,33_1_2
34,65,1,2,34_1_2
35,87,1,2,35_1_2
36,137,1,2,36_1_2
37,145,1,2,37_1_2
